score,feature
0.29680102415486875,income loan ratio
0.2886183117772009,loan amount
0.2563788371611033,income cleaned
0.053254817650654755,loan purpose
0.032130831374414096,sex
0.02832946648433889,applicant race 1
0.016606332541708867,agency code
0.012830162024802161,lien status
0.010802045715931312,loan type modified
0.004248171114977117,property type
