respondent id,agency code,loan type,property type,loan purpose,owner occ,loan amount,pre approval,action taken,msa/md,state,county,census tract,applicant ethnicity,coapp ethnicity,applicant race 1,coapp race,sex,coapp sex,income,type of purchaser,denial reason 1,denial reason 2,denial reason 3,rate of spread,hoepa status,lien status
364327855,7,2,1,1,1,83,2,1,NA,27,23,9506,2,5,5,8,2,5,32,2,,,,NA,2,1
364327855,7,2,1,1,1,115,2,1,33460,27,141,304.02,2,2,5,5,2,1,41,2,,,,NA,2,1
364327855,7,3,1,1,1,265,2,1,33460,27,141,301.01,2,5,5,8,1,5,44,2,,,,NA,2,1
364327855,7,2,1,1,1,111,2,1,33460,27,37,607.14,2,2,3,3,1,2,38,9,,,,NA,2,1
364327855,7,1,1,1,1,140,2,1,33460,27,53,260.14,2,5,2,8,2,5,30,9,,,,NA,2,1
364327855,7,1,1,3,1,143,3,1,33460,27,141,301.01,2,5,5,8,1,5,71,7,,,,NA,2,1
364327855,7,1,1,1,1,280,2,1,33460,27,37,608.18,2,5,5,8,1,5,74,7,,,,NA,2,1
364327855,7,2,1,1,1,169,2,1,33460,27,53,1.01,2,2,3,3,2,1,51,6,,,,NA,2,1
364327855,7,1,1,3,1,143,3,1,33460,27,53,268.16,2,2,5,5,2,1,74,6,,,,NA,2,1
364327855,7,1,1,3,1,124,3,1,33460,27,53,267.08,2,5,5,8,1,5,42,6,,,,01.75,2,1
364327855,7,2,1,1,1,332,2,1,33460,27,3,502.35,2,5,5,8,1,5,113,6,,,,NA,2,1
364327855,7,2,1,3,1,214,3,1,33460,27,163,701.06,2,5,5,8,1,5,62,6,,,,NA,2,1
364327855,7,1,1,1,1,390,2,1,33460,27,141,305.04,2,2,6,6,1,2,99,6,,,,NA,2,1
364327855,7,2,1,1,1,324,2,1,33460,27,53,239.02,2,2,5,5,1,2,98,6,,,,NA,2,1
364327855,7,2,1,1,1,166,2,1,33460,27,53,206,2,5,2,8,2,5,37,6,,,,NA,2,1
364327855,7,3,1,1,1,255,2,1,33460,27,53,262.01,2,5,5,8,1,5,69,6,,,,NA,2,1
364327855,7,2,1,3,1,134,3,2,33460,27,37,608.19,2,5,5,8,1,5,51,0,,,,NA,2,1
364327855,7,3,1,1,1,220,2,2,33460,27,3,502.26,1,5,5,8,1,5,74,0,,,,NA,2,1
364327855,7,2,1,3,1,159,3,3,33460,27,123,308,2,5,5,8,2,5,37,0,3,,,NA,2,1
364327855,7,1,1,3,1,70,3,3,NA,27,35,9511,3,3,6,6,3,3,62,0,3,,,NA,2,1
364327855,7,1,1,3,1,85,3,3,33460,27,59,1302,3,3,6,6,3,3,53,0,9,,,NA,2,1
364327855,7,2,1,1,1,106,2,3,33460,27,123,411.03,2,5,5,8,2,5,21,0,1,,,NA,2,1
364327855,7,2,1,1,1,181,2,3,33460,27,25,1106,2,2,5,5,1,2,108,0,4,,,NA,2,1
364327855,7,2,1,1,1,167,2,3,24220,27,119,201,2,5,5,8,1,5,42,0,3,,,NA,2,1
364327855,7,1,1,3,1,295,3,1,33460,27,123,303,2,2,5,2,2,2,158,6,,,,NA,2,1
364327855,7,1,1,1,1,237,2,1,33460,27,53,238.02,2,2,5,5,1,2,68,6,,,,NA,2,1
364327855,7,1,1,1,1,118,2,1,33460,27,123,308,2,5,2,8,1,5,23,3,,,,NA,2,1
364327855,7,4,1,1,1,144,2,1,33460,27,59,1305.02,2,5,5,8,2,5,37,7,,,,NA,2,1
364327855,7,3,1,1,1,424,2,1,33460,27,3,502.34,2,2,5,5,1,2,148,2,,,,NA,2,1
364327855,7,1,1,1,1,294,2,3,33460,27,53,1036,2,2,5,5,1,2,60,0,1,2,,NA,2,1
364327855,7,1,1,1,1,206,2,1,33460,27,3,501.15,2,2,5,5,1,2,134,1,,,,NA,2,1
