respondent id,agency code,loan type,property type,loan purpose,owner occ,loan amount,pre approval,action taken,msa/md,state,county,census tract,applicant ethnicity,coapp ethnicity,applicant race 1,coapp race,sex,coapp sex,income,type of purchaser,denial reason 1,denial reason 2,denial reason 3,rate of spread,hoepa status,lien status
7197000003,7,2,1,3,1,72,3,3,20260,27,017,0706.00,2,5,5,8,1,5,37,0,9,,,NA,2,1
7197000003,7,1,1,3,1,220,3,1,33460,27,059,1304.00,3,3,6,6,3,3,76,3,,,,NA,2,1
7197000003,7,3,1,3,1,316,3,1,33460,27,037,0607.45,3,3,6,6,2,1,153,2,,,,NA,2,1
7197000003,7,2,1,3,1,200,3,3,NA,27,105,1051.00,2,2,5,5,1,2,134,0,7,,,NA,2,1
7197000003,7,1,1,3,1,138,3,3,33460,27,171,1001.00,3,5,6,8,3,5,120,0,7,,,NA,2,1
7197000003,7,2,1,1,1,47,2,3,NA,27,067,7811.00,2,5,5,8,1,5,40,0,7,,,NA,2,1
7197000003,7,2,1,1,1,121,2,3,NA,27,097,7801.00,2,2,5,5,1,2,53,0,7,,,NA,2,1
7197000003,7,3,1,1,1,188,2,1,33460,27,037,0611.07,2,2,5,5,1,2,44,2,,,,NA,2,1
7197000003,7,1,1,1,1,102,2,3,20260,27,137,0127.00,2,5,5,8,2,5,28,0,5,,,NA,2,1
7197000003,7,1,1,3,1,95,3,1,NA,27,035,9507.00,2,2,5,5,1,2,54,3,,,,NA,2,1
7197000003,7,2,1,3,1,96,3,3,NA,27,089,0804.00,3,5,6,8,2,5,30,0,3,,,NA,2,1
7197000003,7,2,1,3,1,138,3,1,40340,27,109,0020.00,3,3,6,6,3,3,50,2,,,,NA,2,1
7197000003,7,1,1,1,1,200,2,1,33460,27,037,0607.38,1,3,6,6,2,3,50,3,,,,NA,2,1
7197000003,7,2,1,1,1,83,2,3,NA,27,173,9704.00,3,3,5,6,3,3,132,0,7,,,NA,2,1
7197000003,7,1,1,3,1,119,3,3,NA,27,113,0901.00,2,5,5,8,2,5,65,0,7,,,NA,2,1
7197000003,7,1,1,1,1,160,2,1,NA,27,035,9514.00,2,5,5,8,2,5,54,3,,,,NA,2,1
7197000003,7,2,1,1,1,137,2,1,33460,27,123,0404.01,3,3,6,1,3,3,70,2,,,,NA,2,1
7197000003,7,2,1,3,1,285,3,1,33460,27,019,0903.02,2,2,5,5,2,1,64,2,,,,NA,2,1
7197000003,7,1,1,1,1,190,2,1,33460,27,037,0608.15,2,5,3,8,1,5,54,1,,,,NA,2,1
7197000003,7,3,1,1,1,263,2,1,40340,27,045,9604.00,2,2,5,5,1,2,63,2,,,,NA,2,1
7197000003,7,1,1,3,1,129,3,1,20260,27,017,0701.00,2,5,5,8,2,5,32,3,,,,NA,2,1
7197000003,7,2,1,1,1,78,2,1,NA,27,107,9601.00,2,5,5,8,1,5,43,2,,,,NA,2,1
7197000003,7,2,1,3,1,103,3,1,33460,27,053,0017.00,2,5,5,8,2,5,54,2,,,,NA,2,1
7197000003,7,1,1,1,1,154,2,1,20260,27,017,0704.00,3,5,6,8,3,5,81,1,,,,NA,2,1
7197000003,7,2,1,3,1,96,3,3,NA,27,023,9506.00,2,5,5,8,1,5,36,0,7,,,NA,2,1
7197000003,7,1,1,3,1,300,3,1,41060,27,009,0212.00,2,2,5,5,1,2,81,1,,,,NA,2,1
7197000003,7,1,1,3,1,150,3,1,NA,27,111,9607.00,2,5,6,8,2,5,36,3,,,,NA,2,1
7197000003,7,1,1,3,1,169,3,1,33460,27,037,0607.16,2,5,5,8,1,5,122,3,,,,NA,2,1
7197000003,7,1,1,3,1,123,3,3,33460,27,123,0413.02,3,5,6,8,3,5,40,0,7,,,NA,2,1
7197000003,7,2,1,3,1,61,3,1,NA,27,117,4601.00,2,2,5,5,1,2,49,2,,,,NA,2,1
7197000003,7,1,1,1,1,284,1,1,33460,27,053,0268.20,2,5,3,8,1,5,124,1,,,,NA,2,1
7197000003,7,2,1,1,1,197,2,1,40340,27,157,4903.00,2,2,5,5,1,2,85,2,,,,NA,2,1
7197000003,7,2,1,3,1,289,3,1,33460,27,143,1704.00,2,3,5,6,2,2,NA,2,,,,NA,2,1
7197000003,7,1,1,3,1,75,3,1,33460,27,037,0608.26,2,5,5,8,2,5,34,1,,,,NA,2,1
7197000003,7,1,1,3,1,63,3,1,20260,27,137,0138.00,2,2,5,5,1,1,112,3,,,,NA,2,1
7197000003,7,1,1,3,1,638,3,3,33460,27,163,0711.02,3,5,6,8,3,5,460,0,7,,,NA,2,1
7197000003,7,1,1,3,1,179,3,3,NA,27,001,7905.01,2,2,5,5,1,2,144,0,4,9,,NA,2,1
